date,asm_domestic,asm_international,flights_domestic,flights_international,passengers_domestic,passengers_international,rpm_domestic,rpm_international,airport
2008-07-01,1898891,1668447.0,12741,2403.0,1869945,377574.0,1729153,1312037.0,ATL
2008-08-01,1846639,1618849.0,12572,2266.0,1780158,341823.0,1642836,1280752.0,ATL
2008-09-01,1767489,1418753.0,12777,1786.0,1682227,278149.0,1490403,1127608.0,ATL
2008-10-01,1858516,1351722.0,13818,1756.0,1896548,269194.0,1594124,1043713.0,ATL
2008-11-01,1791266,1340573.0,13164,1797.0,1742072,266364.0,1468815,1002610.0,ATL
2008-12-01,1780471,1471491.0,12574,2105.0,1733955,332437.0,1526426,1185023.0,ATL
2009-01-01,1751624,1435732.0,12355,2085.0,1571233,290107.0,1395705,1054187.0,ATL
2009-02-01,1557075,1246776.0,11054,1846.0,1425660,248332.0,1255278,836437.0,ATL
2009-03-01,1719130,1391494.0,12097,2115.0,1639364,306528.0,1432631,1038184.0,ATL
2009-04-01,1638232,1332635.0,12027,2018.0,1638436,290126.0,1398455,995844.0,ATL
2009-05-01,1631065,1333082.0,12237,1962.0,1669861,299188.0,1428706,1093313.0,ATL
2009-06-01,1709754,1438852.0,12181,2130.0,1702476,355765.0,1532751,1252071.0,ATL
2009-07-01,1830108,1464158.0,12793,2201.0,1816526,352603.0,1663273,1220949.0,ATL
2009-08-01,1807642,1381936.0,12853,1998.0,1750963,299653.0,1599067,1113925.0,ATL
2009-09-01,1687034,1198161.0,12751,1579.0,1625454,247508.0,1405075,986348.0,ATL
2009-10-01,1779041,1106271.0,13827,1568.0,1819868,241747.0,1517035,905090.0,ATL
2009-11-01,1732434,975523.0,13454,1558.0,1693344,225518.0,1406442,762101.0,ATL
2009-12-01,1704255,1117397.0,12538,1973.0,1600374,301111.0,1411915,934256.0,ATL
2010-01-01,1730996,1220459.0,12413,2021.0,1505643,273170.0,1351166,923270.0,ATL
2010-02-01,1546204,1069465.0,11065,1801.0,1415486,247029.0,1253961,789826.0,ATL
2010-03-01,1835655,1245350.0,13291,2077.0,1846853,309809.0,1600629,988091.0,ATL
2010-04-01,1846398,1187378.0,13954,1854.0,1881071,277214.0,1588348,952965.0,ATL
2010-05-01,1898247,1335984.0,14368,1954.0,1927626,320797.0,1646295,1153094.0,ATL
2010-06-01,1933442,1440464.0,14365,2177.0,1998602,370989.0,1742969,1286647.0,ATL
2010-07-01,1996471,1512418.0,14570,2362.0,2034331,392023.0,1814850,1297276.0,ATL
2010-08-01,2007404,1460970.0,15010,2149.0,1972228,332892.0,1746655,1198327.0,ATL
2010-09-01,1943211,1238413.0,15312,1678.0,1894069,271036.0,1593330,1064300.0,ATL
2010-10-01,1997172,1257132.0,15870,1728.0,2099013,271476.0,1708685,1026160.0,ATL
2010-11-01,1881219,1160489.0,14971,1658.0,1934726,252693.0,1562146,908319.0,ATL
2010-12-01,1867131,1241832.0,14509,1921.0,1845665,308896.0,1554176,1031653.0,ATL
2011-01-01,1793038,1239154.0,13881,1987.0,1654095,271028.0,1410442,923196.0,ATL
2011-02-01,1724337,1148245.0,13462,1903.0,1670653,251306.0,1392057,802870.0,ATL
2011-03-01,2041019,1300531.0,15943,2249.0,2126775,314858.0,1744916,996579.0,ATL
2011-04-01,1977615,1209499.0,16018,2026.0,2124011,288027.0,1687635,943910.0,ATL
2011-05-01,2076081,1250971.0,16874,1982.0,2297956,313623.0,1833307,1067367.0,ATL
2011-06-01,2071080,1414907.0,16515,2212.0,2247706,375804.0,1832757,1249669.0,ATL
2011-07-01,2153691,1482681.0,17047,2382.0,2343945,398323.0,1940497,1266774.0,ATL
2011-08-01,2099130,1399919.0,16942,2121.0,2238251,337721.0,1839368,1166149.0,ATL
2011-09-01,1965909,1146960.0,16044,1681.0,2072619,263976.0,1662970,978747.0,ATL
2011-10-01,2033747,1168366.0,16832,1741.0,2245376,260474.0,1752672,934974.0,ATL
2011-11-01,1914791,1037725.0,15793,1600.0,2103245,244218.0,1646605,837292.0,ATL
2011-12-01,1924057,1145457.0,15491,1888.0,1979928,306431.0,1608926,972535.0,ATL
2012-01-01,1908290,1130229.0,15666,1942.0,1884119,268072.0,1530308,873264.0,ATL
2012-02-01,1807173,1049490.0,14691,1891.0,1865390,252844.0,1488595,777159.0,ATL
2012-03-01,2054784,1180414.0,16748,2201.0,2321187,316022.0,1816347,970053.0,ATL
2012-04-01,1982731,1151071.0,16566,1982.0,2269762,284437.0,1739464,922745.0,ATL
2012-05-01,2059837,1226436.0,17166,2048.0,2364217,329004.0,1822705,1078753.0,ATL
2012-06-01,2115277,1290857.0,17159,2198.0,2402195,372244.0,1903409,1165891.0,ATL
2012-07-01,2189563,1348630.0,17486,2268.0,2436776,375946.0,1965730,1159222.0,ATL
2012-08-01,2168164,1303295.0,17717,2048.0,2390727,328132.0,1897594,1106181.0,ATL
2012-09-01,2010130,1128988.0,16954,1711.0,2179879,277135.0,1672324,995629.0,ATL
2012-10-01,2063373,1146515.0,17617,1778.0,2396416,280781.0,1790440,978178.0,ATL
2012-11-01,1982427,993050.0,16716,1627.0,2261029,260328.0,1702942,859043.0,ATL
2012-12-01,1943677,1084844.0,15827,1910.0,2078311,313895.0,1649393,956558.0,ATL
2013-01-01,1930391,1055487.0,16313,1824.0,2014088,270210.0,1575858,862700.0,ATL
2013-02-01,1770058,975729.0,15011,1735.0,1936256,254589.0,1483753,781420.0,ATL
2013-03-01,2095803,1137454.0,17642,2085.0,2398066,319362.0,1820193,959544.0,ATL
2013-04-01,2018609,1238228.0,17449,2031.0,2316565,298965.0,1731968,999609.0,ATL
2013-05-01,2095973,1286007.0,18205,2098.0,2458424,345137.0,1830751,1155729.0,ATL
2013-06-01,2137608,1362410.0,18138,2257.0,2455368,392708.0,1885674,1246963.0,ATL
2013-07-01,2276168,1409677.0,18644,2360.0,2502898,394775.0,1989739,1226038.0,ATL
2013-08-01,2255139,1337037.0,18796,2161.0,2465349,353335.0,1938632,1159620.0,ATL
2013-09-01,2040430,1099140.0,17515,1751.0,2244351,277961.0,1706741,969344.0,ATL
2013-10-01,2136199,1107902.0,18606,1763.0,2462463,280669.0,1816152,956994.0,ATL
2013-11-01,2019160,1044127.0,17507,1818.0,2249490,281855.0,1668959,895412.0,ATL
2013-12-01,2053848,1135621.0,17080,2055.0,2332440,337441.0,1821718,1020630.0,ATL
2014-01-01,1898615,1095445.0,15949,2054.0,2040477,303351.0,1588838,922596.0,ATL
2014-02-01,1721592,958988.0,14672,1843.0,1964097,271516.0,1492442,795381.0,ATL
2014-03-01,2175830,1189074.0,18914,2272.0,2623956,345169.0,1949311,1026624.0,ATL
2014-04-01,2109010,1184365.0,18742,2109.0,2573503,317338.0,1879109,993455.0,ATL
2014-05-01,2194446,1294142.0,19540,2252.0,2728834,363812.0,1997845,1172484.0,ATL
2014-06-01,2210991,1437103.0,19211,2470.0,2662006,415341.0,2003446,1284620.0,ATL
2014-07-01,2352808,1496201.0,19975,2626.0,2777533,419022.0,2143020,1257523.0,ATL
2014-08-01,2341711,1475044.0,19936,2511.0,2706045,393660.0,2083234,1248403.0,ATL
2014-09-01,2157765,1236267.0,19270,1967.0,2510464,312699.0,1851744,1088938.0,ATL
2014-10-01,2235807,1157464.0,20323,1925.0,2765055,297276.0,1975409,987007.0,ATL
2014-11-01,2118100,1043867.0,19287,1919.0,2530886,282114.0,1822889,877707.0,ATL
2014-12-01,2144497,1121893.0,18766,2182.0,2451087,343494.0,1867693,1002093.0,ATL
2015-01-01,2059477,1148069.0,18476,2320.0,2295799,329232.0,1726561,954996.0,ATL
2015-02-01,1865131,988701.0,16989,2001.0,2203542,288335.0,1618789,801437.0,ATL
2015-03-01,2246011,1188024.0,20930,2407.0,2795889,349204.0,2021404,981173.0,ATL
2015-04-01,2174349,1224041.0,20217,2343.0,2705027,338974.0,1942714,998095.0,ATL
2015-05-01,2304381,1254196.0,20856,2357.0,2860357,371796.0,2095257,1110303.0,ATL
2015-06-01,2328959,1382305.0,20755,2516.0,2827741,413020.0,2120297,1238626.0,ATL
2015-07-01,2468719,1471043.0,21605,2661.0,2912741,426833.0,2227869,1259889.0,ATL
2015-08-01,2465289,1423102.0,21664,2580.0,2838220,395569.0,2177787,1198491.0,ATL
2015-09-01,2215461,1187101.0,20141,2045.0,2655206,315893.0,1939921,1032394.0,ATL
2015-10-01,2302101,1118985.0,20984,2050.0,2903400,315561.0,2089679,970528.0,ATL
2015-11-01,2187995,1028685.0,20198,2063.0,2740122,304079.0,1952919,876549.0,ATL
2015-12-01,2175559,1110232.0,19242,2317.0,2556283,358673.0,1927224,979917.0,ATL
2016-01-01,2098841,1118536.0,18929,2447.0,2413407,347781.0,1798924,930347.0,ATL
2016-02-01,2044467,999314.0,18621,2223.0,2381128,314923.0,1749384,807321.0,ATL
2016-03-01,2275312,1108911.0,20805,2348.0,2740984,356143.0,2012352,938318.0,ATL
2016-04-01,2232813,1156352.0,20594,2377.0,2724455,344358.0,1972333,946957.0,ATL
2016-05-01,2374010,1222699.0,21638,2433.0,2973323,383705.0,2151487,1077793.0,ATL
2016-06-01,2378915,1281198.0,21415,2433.0,2847021,414901.0,2123156,1166015.0,ATL
2016-07-01,2493453,1388354.0,21659,2615.0,2822355,436890.0,2180190,1214873.0,ATL
2016-08-01,2447813,1319579.0,21390,2467.0,2668682,380351.0,2059938,1089224.0,ATL
2016-09-01,2251519,1118449.0,20323,2015.0,2692054,312309.0,1964257,969246.0,ATL
2016-10-01,2370322,1072438.0,21408,2051.0,2919739,307632.0,2100159,901500.0,ATL
2016-11-01,2248445,905670.0,20412,1912.0,2797426,287407.0,2004047,786318.0,ATL
2016-12-01,2229209,1050472.0,19367,2375.0,2601136,372156.0,1985102,946774.0,ATL
2017-01-01,2128297,,18908,,2388094,,1793896,,ATL
2017-02-01,1993263,,17795,,2334501,,1713441,,ATL
2017-03-01,2338230,,20885,,2855971,,2077381,,ATL
